"";"Plant";"Quadrat";"Year";"Locality";"Grid";"Cover_classes";"Cover_max";"Vegetation";"Total_cover";"Relative_abundance";"Total_cover_max";"Plant_richness";"Plant_diversity";"Rank";"Plant_genus"
"1";"Convolvulus arvensis";"Quadrat 8";"20";"BDX";"20_BDX_01";87,5;100;91;91;0,961538461538462;106;3;1,19577837604099;1;"Convolvulus"
"2";"Cynodon dactylon";"Quadrat 5";"20";"BDX";"20_BDX_01";87,5;100;87,5;87,5;1;100;1;1;1;"Cynodon"
"3";"Plantago lanceolata";"Quadrat 4";"20";"BDX";"20_BDX_01";62,5;75;85,5;85,5;0,730994152046784;105;3;1,98661049611372;1;"Plantago"
"4";"Rumex acetosella";"Quadrat 1";"20";"BDX";"20_BDX_01";37,5;50;80,5;80,5;0,46583850931677;110;5;3,82900658905992;1;"Rumex"
"5";"Convolvulus arvensis";"Quadrat 3";"20";"BDX";"20_BDX_01";37,5;50;75;75;0,5;100;2;2;1;"Convolvulus"
"6";"Convolvulus arvensis";"Quadrat 6";"20";"BDX";"20_BDX_01";37,5;50;108;108;0,347222222222222;145;5;3,92255502731009;1;"Convolvulus"
"7";"Cynodon dactylon";"Quadrat 3";"20";"BDX";"20_BDX_01";37,5;50;75;75;0,5;100;2;2;2;"Cynodon"
"8";"Graminee sp 1";"Quadrat 2";"20";"BDX";"20_BDX_01";37,5;50;86,5;86,5;0,433526011560694;120;7;4,70933818780363;1;"Graminee"
"9";"Graminee sp 1";"Quadrat 7";"20";"BDX";"20_BDX_01";37,5;50;90,5;90,5;0,414364640883978;125;6;4,67301688525031;1;"Graminee"
"10";"Hypochaeris radicata";"Quadrat 6";"20";"BDX";"20_BDX_01";37,5;50;108;108;0,347222222222222;145;5;3,92255502731009;2;"Hypochaeris"
"11";"Poa trivialis";"Quadrat 1";"20";"BDX";"20_BDX_01";20;25;80,5;80,5;0,248447204968944;110;5;3,82900658905992;2;"Poa"
"12";"Ornithopus compressus";"Quadrat 2";"20";"BDX";"20_BDX_01";20;25;86,5;86,5;0,23121387283237;120;7;4,70933818780363;2;"Ornithopus"
"13";"Ornithopus compressus";"Quadrat 6";"20";"BDX";"20_BDX_01";20;25;108;108;0,185185185185185;145;5;3,92255502731009;3;"Ornithopus"
"14";"Graminee sp 2";"Quadrat 4";"20";"BDX";"20_BDX_01";20;25;85,5;85,5;0,233918128654971;105;3;1,98661049611372;2;"Graminee"
"15";"Trifolium arvense";"Quadrat 7";"20";"BDX";"20_BDX_01";20;25;90,5;90,5;0,220994475138122;125;6;4,67301688525031;2;"Trifolium"
"16";"Rumex acetosella";"Quadrat 2";"20";"BDX";"20_BDX_01";10;15;86,5;86,5;0,115606936416185;120;7;4,70933818780363;3;"Rumex"
"17";"Rumex acetosella";"Quadrat 7";"20";"BDX";"20_BDX_01";10;15;90,5;90,5;0,110497237569061;125;6;4,67301688525031;3;"Rumex"
"18";"Rumex acetosella";"Quadrat 9";"20";"BDX";"20_BDX_01";10;15;49,5;49,5;0,202020202020202;76;8;6,35061491215934;1;"Rumex"
"19";"Plantago lanceolata";"Quadrat 1";"20";"BDX";"20_BDX_01";10;15;80,5;80,5;0,124223602484472;110;5;3,82900658905992;3;"Plantago"
"20";"Plantago lanceolata";"Quadrat 7";"20";"BDX";"20_BDX_01";10;15;90,5;90,5;0,110497237569061;125;6;4,67301688525031;4;"Plantago"
"21";"Convolvulus arvensis";"Quadrat 9";"20";"BDX";"20_BDX_01";10;15;49,5;49,5;0,202020202020202;76;8;6,35061491215934;2;"Convolvulus"
"22";"Cynodon dactylon";"Quadrat 1";"20";"BDX";"20_BDX_01";10;15;80,5;80,5;0,124223602484472;110;5;3,82900658905992;4;"Cynodon"
"23";"Cynodon dactylon";"Quadrat 6";"20";"BDX";"20_BDX_01";10;15;108;108;0,0925925925925926;145;5;3,92255502731009;4;"Cynodon"
"24";"Geranium molle";"Quadrat 2";"20";"BDX";"20_BDX_01";10;15;86,5;86,5;0,115606936416185;120;7;4,70933818780363;4;"Geranium"
"25";"Graminee sp 3";"Quadrat 7";"20";"BDX";"20_BDX_01";10;15;90,5;90,5;0,110497237569061;125;6;4,67301688525031;5;"Graminee"
"26";"Graminee sp 3";"Quadrat 9";"20";"BDX";"20_BDX_01";10;15;49,5;49,5;0,202020202020202;76;8;6,35061491215934;3;"Graminee"
"27";"Malva sylvestris";"Quadrat 9";"20";"BDX";"20_BDX_01";10;15;49,5;49,5;0,202020202020202;76;8;6,35061491215934;4;"Malva"
"28";"Plantago lanceolata";"Quadrat 6";"20";"BDX";"20_BDX_01";3;5;108;108;0,0277777777777778;145;5;3,92255502731009;5;"Plantago"
